                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0302,                0.75997,                 1.2342,                0.94363,                0.84914,                0.92596,                0.67474,                0.99304,                0.69731,                  1.252,               0.000713,               0.000713,               0.000713
                     67,                 1.0183,                0.74066,                 1.2208,                 0.9438,                0.85179,                0.93117,                0.69126,                0.98563,                0.65264,                 1.2339,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0379,                0.75231,                 1.2463,                0.93445,                0.86079,                0.93619,                0.70054,                0.94896,                0.63934,                 1.2247,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0236,                0.74083,                 1.2157,                0.94811,                0.86232,                0.93212,                0.68008,                 1.0108,                 0.6567,                 1.2729,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0057,                0.72807,                 1.1931,                0.90608,                0.88546,                0.92916,                 0.6935,                0.94119,                 0.6516,                 1.2124,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.9785,                0.68556,                 1.1959,                0.92691,                0.87681,                0.94088,                0.69662,                0.93125,                0.63372,                 1.2185,               0.000614,               0.000614,               0.000614
                     72,                0.98797,                0.70033,                 1.2018,                0.95508,                0.87304,                0.93772,                 0.6972,                0.95408,                0.66079,                 1.2044,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.9975,                0.70959,                 1.1998,                0.95243,                 0.8706,                0.94609,                0.71097,                0.92766,                0.61728,                 1.1743,              0.0005744,              0.0005744,              0.0005744
                     74,                0.95646,                0.68656,                  1.186,                 0.9625,                0.85507,                0.93745,                0.70413,                0.93638,                0.62098,                 1.2001,              0.0005546,              0.0005546,              0.0005546
                     75,                0.97927,                0.70357,                 1.1923,                 0.9494,                0.87198,                0.93957,                0.69922,                0.93398,                 0.6349,                  1.219,              0.0005348,              0.0005348,              0.0005348
                     76,                0.95881,                0.66371,                 1.1799,                0.92767,                0.88889,                0.94539,                0.70786,                0.93101,                0.59297,                 1.1933,               0.000515,               0.000515,               0.000515
                     77,                0.97573,                0.67827,                 1.1839,                0.94795,                0.87984,                0.95026,                0.71588,                0.91899,                0.60124,                 1.1818,              0.0004952,              0.0004952,              0.0004952
                     78,                0.95616,                0.67065,                 1.1859,                0.93055,                0.88164,                0.93963,                0.71226,                0.92529,                0.59487,                 1.1838,              0.0004754,              0.0004754,              0.0004754
                     79,                0.95105,                0.67934,                 1.1794,                0.94784,                 0.8778,                0.94926,                0.71566,                 0.9506,                0.58906,                 1.2054,              0.0004556,              0.0004556,              0.0004556
                     80,                0.96162,                0.67294,                 1.1949,                0.96742,                0.86073,                0.94454,                0.71469,                0.89119,                0.58662,                 1.1587,              0.0004358,              0.0004358,              0.0004358
                     81,                0.91469,                0.65276,                 1.1547,                0.94116,                0.87923,                0.94321,                0.72635,                0.87281,                0.57926,                 1.1585,               0.000416,               0.000416,               0.000416
                     82,                0.94981,                0.64404,                 1.1658,                 0.9405,                0.87816,                0.94731,                0.72508,                0.87109,                 0.5907,                 1.1473,              0.0003962,              0.0003962,              0.0003962
                     83,                0.90983,                0.62905,                 1.1526,                0.96815,                0.88101,                0.95278,                 0.7154,                0.89286,                0.57834,                 1.1736,              0.0003764,              0.0003764,              0.0003764
                     84,                0.91553,                0.63947,                 1.1638,                0.95502,                0.88164,                0.94924,                0.72184,                0.88248,                0.57423,                 1.1546,              0.0003566,              0.0003566,              0.0003566
                     85,                0.92547,                0.62734,                  1.161,                0.96836,                 0.8872,                0.95417,                0.72146,                0.88042,                0.55426,                 1.1652,              0.0003368,              0.0003368,              0.0003368
                     86,                0.91709,                0.63248,                 1.1593,                0.95699,                0.89614,                0.95328,                0.72938,                0.89742,                0.55721,                 1.1772,               0.000317,               0.000317,               0.000317
                     87,                0.89263,                0.61479,                  1.134,                0.95477,                0.88889,                0.95828,                0.72775,                0.88178,                0.54163,                 1.1563,              0.0002972,              0.0002972,              0.0002972
                     88,                0.91508,                0.61571,                 1.1498,                0.95848,                0.89215,                0.95578,                 0.7284,                0.86508,                0.57928,                 1.1568,              0.0002774,              0.0002774,              0.0002774
                     89,                0.89461,                0.62339,                 1.1386,                0.96627,                0.89962,                0.95778,                0.73828,                0.85995,                  0.524,                 1.1401,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83109,                0.55884,                 1.1105,                0.96813,                0.88041,                0.94945,                0.72958,                 0.8598,                0.57451,                 1.1404,              0.0002378,              0.0002378,              0.0002378
                     91,                0.79267,                0.51371,                 1.0782,                 0.9512,                0.89451,                0.95628,                0.72965,                0.86142,                0.54609,                 1.1499,               0.000218,               0.000218,               0.000218
                     92,                0.79588,                0.50307,                 1.0782,                0.96444,                0.89855,                0.95912,                0.73604,                 0.8559,                0.53332,                 1.1356,              0.0001982,              0.0001982,              0.0001982
                     93,                0.77558,                0.50182,                 1.0747,                0.95156,                0.90164,                0.95954,                0.74026,                0.85758,                0.53075,                 1.1352,              0.0001784,              0.0001784,              0.0001784
                     94,                0.77405,                0.50948,                 1.0755,                0.94511,                0.90097,                0.95859,                 0.7428,                0.85473,                0.52294,                 1.1371,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.7576,                0.49862,                 1.0659,                0.96111,                0.89535,                0.96111,                0.74754,                0.84305,                0.52149,                 1.1235,              0.0001388,              0.0001388,              0.0001388
                     96,                0.76658,                0.49586,                  1.073,                0.95411,                0.90405,                  0.961,                0.74349,                0.84313,                0.52168,                 1.1245,               0.000119,               0.000119,               0.000119
                     97,                0.77895,                0.50172,                 1.0716,                0.97003,                0.88647,                0.95985,                0.74428,                0.83637,                0.52071,                 1.1287,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 0.7367,                0.47754,                  1.049,                0.93774,                0.91304,                0.96149,                0.74997,                0.84304,                0.51846,                 1.1346,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.73568,                0.46137,                  1.042,                0.95197,                0.90967,                0.96082,                 0.7512,                0.83631,                 0.5215,                 1.1187,               5.96e-05,               5.96e-05,               5.96e-05
